eng,ssw,source
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2019/20 Mid- Year Performance (Announcements, Tablings and Committee Reports, 9 December 2019, p 30).","Kucutjungulwa kweMbiko weLikomidi leLimile leTindlu Totimbili lomayelana neLulawulo lweTetimali tePhalamende lomayelana neKusebenta kwaseMkhatsini neMnyaka wa-2019.20 kwePhalamende yaseRiphabhliki yaseNingizimu Afrika (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-09 Ingongoni 2019, likh. le-30).",February
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Kucutjungulwa kweMbiko weLikomidi leLimile leTindlu Totimbili weLulawulo lweTetimali tePhalamende lomayelana neKusebenta kwePhalamende yaseRiphabhliki yaseNingizimu Afrika ngekota yekucala yanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-9 Ingongoni 2019, likh. le-20).",February
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Kucutjungulwa kweMbiko weLikomidi leLimile Letindlu Totimbili weLulawulo lweTimali tePhalamende lomayelana neMbiko weMnyaka wePhalamende yaseRiphabhliki yaseNingizimu Afrika wanga-2018/19. (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-09 Ingongoni 2019, likh. le-5)",February
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Colloquium on funding of post-school education and training sector (Announcements, Tablings and Committee Reports, 5 December 2019, p 74).","Kucutjungulwa kweMbiko weLikomidi leSigungu saVelonkhe leTekutfutsa weTemfundvo lePhakeme, Tesayensi neTheknoloji weNkhomfa Yekusita ngetimali tekufundza ngemuva kwekuphasa matekuletjeni nemkhakha wetekucecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-74)",February
"Consideration of Request for Approval by Parliament of Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa in terms of section 231(2) of Constitution, 1996 (Report of Portfolio Committee on Higher Education, Science and Technology, see Announcements, Tablings and Committee Reports, 5 December 2019, p 73).","Kucutjungulwa kweSicelo seKuvunywa yiPhalamende kweSivumelwane lesisemkhatsini waHulumende waseRiphabhliki yaseNingizimu Afrika kanye neSikhungo seMave eMhlaba lesimayelana neKusetjentiswa kwelufuto ngandlelatsite kanye neTheknoloji yeKwenta Timphilo teBantfu Tibe Ncono (I-CGEB) mayelana nekuSungulwa kweSikhungo seMhlaba seKusetjentiswa kweLufuto ngandlelatsite kanye neTheknoloji yeKwenta Timphilo teBantfu Tibe Ncono (i-ICGEB) eRiphabhliki yaseNingizimu Afrika ngekwemndzela wesigaba se-231(2) seMtsetfsisekelo, wanga-1996 (Umbiko weLikomidi leLibandla laVelonkhe leTemfundvo lePhakeme, Tesayensi neTheknoloji, buka Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-73)",February
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Kucutjungulwa kweMbiko weLikomidi leSigungu saVelonkhe leTekutfutsa weTemfundvo lePhakeme, teSayensi neTheknoloji lomayelana nembiko weKota Yekucala yanga-2019/20 wetetimali nekusebenta kuletsa tinsita kweLitiko Letemfundvo Lephakeme Nekucecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-64).",February
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on National Student Financial Aid Scheme 2018/19 financial and service delivery performance (Announcements, Tablings and Committee Reports, 5 December 2019, p 52).","Kucutjungulwa kweMbiko weLikomidi leSigungu saVelonkhe leTekutfutsa weTemfundvo Lephakeme, teSayensi neTheknoloji lomayelana nekusebenta kweSikimu saVelonkhe seBafundzi seLusito lweTetimali wemnyakatimali wanga-2018/19 nekuletfwa kwetinsita (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-52).",February
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Kucutjungulwa kweMbiko weLikomidi leSigungu saVelonkhe leTekutfutsa weTemfundvo lePhakeme, teSayensi neTheknoloji lomayelana neMibiko yeMnyaka wa-2018/19 weSikhwama saVelonkhe seTemakhono neMkhakha weTemfundvo neTikhungo letinemagunga ekuCecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Ingongoni 2019, likh. le-24).",February
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Kucutjungulwa kweMbiko weLikomidi leSigungu saVelonkhe leTekutfutsa weTekuhweba neTimboni lomayelana neKusebenta ngekweTetimali kweLitiko Letekuhweba Netimboni Netentfutfuko yeTemnotfo ngeKota yeSibili yeTetimali kanye neKungasebnti ngekweTimali kwemnyaka wetetimali wanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Ingongoni 2019, likh. le-4).",February
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Kucutjungulwa kweMbiko weLikomidi leLimile leMhlolimabhuku Jikelele lomayelana neMbiko weMnyaka Lohlanganisiwe weMhlolimabhuku Jikelele wemnyakatimali wanga-2018/19 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-04 Ingongoni 2019, likh. le-3).",February
APPENDIXES,TELEKO,February
PETITIONS REFERRED TO COMMITTEES,TICELOSIKHALO LETENDLULISELWE KUMAKOMIDI,February
"Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo lesibuya kubahlali baseGermiston, kumasipala welidolobha lase-Ekurhuleni bacela Libandla laVelonkhe kutsi liphenye ngekuhamba kwagezi emahlandla lamanyenti (Mnu. M Waters) – (Likomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).",February
"Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo lesibuya kubahlali baseBoksburg, kumasipala welidolobha lase-Ekurhuleni bacela Libandla laVelonkhe kutsi liphenye ngekuhamba kwagezi emahlandla lamanyenti (Mnu. M Waters) – (Likomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).",February
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).","Sicelosikhalo lesibuya kubahlali baseKempton Park, bacela Libandla laVelonkhe kutsi liphenye ngesimo lesibi kakhulu sekungabonakali ngalokwanele kwemaphoyisa kanye nekuswelakala kwetimoto esiteshini semaphoyisa eKempton Park (Mnu. M Waters) – Likomidi leSigungu saVelonkhe leTemaphoyisa – Libandla laVelonkhe).",February
"Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo lesibuya kubahlali base-Alberton, bacela Libandla laVelonkhe kutsi liphenye ngekutimbandzakanya kwemmango kanye nekuhambisana nemtsetfo kwentfutfuko yetetindlu lephakanyisiwe e-Alberton (Mnu. D Bergman) – (Likomidi leLibandla laVelonkhe leTekubusa ngekuBambisana neTendzabuko – Libandla laVelonkhe).",February
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Sicelosikhalo lesibuya kubahlali baseWattville, eBenoni bacela Libandla laVelonkhe kutsi lilungise kubhebhetseka ngemandla kwebugebengu, lokufaka ekhatsi budlova lobucondziswe kubulili lobutsite nebudlova lobucondziswe kubantfwana, nesidzingo sekutsi kube nesiteshi semaphoyisa kulendzawo (Mnu. H Ismail) – (Likomidi leLibandla laVelonkhe leTemaphoyisa – Libandla laVelonkhe).",February
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Sicelosikhalo lesibuya kubahlali base-Actonville, eBenoni, bacela Libandla laVelonkhe kutsi liphenye ngekwenyuka kakhulu kwelizinga lebugebengu netidzakamiva, nekutsi kube khona titeshi temaphoyisa letibomahambanendlwana netimoto temaphoyisa kulendzawo (Mnu. H Ismail) – (Likomidi leLibandla laVelonkhe leTemaphoyisa – Libandla laVelonkhe).",February
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo lesibuya kubahlali beLidolobhakati lase-Ekurhuleni, bacela Libandla laVelonkhe kutsi liphenye ngesimo lesibi lesingumahlalakhona setinsita tekuhanjiswa kwendle kulendzawo (Mnu. H Ismail) – (Likomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).",February
"Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School (Mr I S Seitlholo) – (Portfolio Committee on Basic Education – National Assembly).","Sicelosikhalo lesibuya kubahlali kwesigodzi saseDryharts, bacela Libandla kutsi liphenye ngekuphindza kuvulwa kweSikolwa iMolehabangwe Middle School (Mnu. I S Seitlholo) – (Likomidi leLibandla laVelonkhe leTemfundvo Lesisekelo – Libandla laVelonkhe).",February
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Sicelosikhalo lesibuya kubahlali baseKokomeng kanye netigodzi letibomakhelwane, bacela Libandla kutsi liphenye futsi liphutfumise kuphindza kuvulwa kwesiteshi semaphoyisa saseKokomeng (Mnu. I S Seitlholo) – (Likomidi leLibandla laVelonkhe leTemaphoyisa – Libandla laVelonkhe).",February
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo lesibuya kubahlali base-Actonville, eBenoni, bacela Libandla laVelonkhe kutsi liphenye ngemali lesetulu yekurenta lekhokhwa bantfu labarenta tindlu telikhansela (Umnu. H Ismail) – (Likomidi leLibandla laVelonkhe leTekuhlaliswa Kwebantfu, Emanti Nekuhanjiswa kweNdle – Libandla laVelonkhe).",February
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Mr H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Sicelosikhalo lesibuya kubahlali baseWadi le-37, eNyakatfo ye-Alberton, e-Kurhuleni, bacela Libandla laVelonkhe kutsi liphenye kuhlala ngalokungemtsetfo esitandini 1/1224 nombolo 42, Second Avenue, eNyakatfo ye-Alberton (Umnu. D Bergman) – (Likomidi leLibandla laVelonkhe leTekubusa Ngekubambisana Netendzabuko neLikomidi leLibandla laVelonkhe leTemaphoyisa – Libandla laVelonkhe).",February
"Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs and Portfolio Committee on Police – National Assembly).",IMITSETFOSIVIVINYO LENDLULISELWE KUMAKOMIDI LAYIHLELAKO (I-JTM),February
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),Umtsetfosivivinyo weKuchibela Timiso teMacala Langesiwo eBugebengu neTindzaba teteBugebengu (Emacala eteMacansi)[B 22 - 2019] (Libandla laVelonkhe – sigaba lesiphakanyisiwe se-75).,February
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (National Assembly – proposed sec 75).,Umtsetfosivivinyo weKuchibela Tebungcweti Betekucwaningwa Kwemabhuku [B 2 – 2020] (Libandla laVelonkhe – sigaba se-75 lesiphakanyisiwe).,February
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – proposed sec 75).,IMITSETFOSIVIVINYO LEYENDLULISELWE KUMAKOMIDI,February
BILLS REFERRED TO COMMITTEES,Umtsetfosivivinyo weMshwalensi weTemphilo waVelonkhe [B 7D – 2016 (Libandla laVelonkhe – sigaba-76) – (Likomidi leLibandla laVelonkhe leteTitfutsi – Libandla laVelonkhe).,February
National Land Transport Amendment Bill [B 7D – 2016] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weTinkantolo teSintfu [B 1B – 2017] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza Letekuphepha Netebulungiswa – Umkhandlu waVelonkhe weTifundza).,February
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Umtsetfosivivinyo weteKukalwa kweLwandle [B 6B – 2017] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza Letekuphepha Netebulungiswa – Umkhandlu waVelonkhe weTifundza).,February
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Umtsetfosivivinyo weSikimu seTinzuzo teteTingoti teMgwaco [B 17B – 2017 (Libandla laVelonkhe – sigaba-76) – (Likomidi leLibandla laVelonkhe leteTitfutsi – Libandla laVelonkhe).,February
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weKuchibela teKuvikela [B 18 - 2017] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  leTekuvikela neTigayigayi temphi – Libandla laVelonkhe).,February
Defence Amendment Bill [B 18 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Defence and Military Veterans – National Assembly).,Umtsetfosivivinyo weTebugebengu beMave Emhlaba [B 37 - 2017] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  Letebulungiswa Nekucondziswa Kwesimilo – Libandla laVelonkhe).,February
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weKuchibela teKusita ngeTenhlalo [B 5B – 2018 (Libandla laVelonkhe – sigaba-75) – (Likomidi leLibandla laVelonkhe leteKutfutfukiswa kwetenhlalo – Libandla laVelonkhe).,February
Social Assistance Amendment Bill [B 8 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Social Development – National Assembly).,Umtsetfosivivinyo weTebugebengu beNtondvo neNkhulumo leneNtondvo [B 9 - 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  leTebulungiswa neKucondziswa kweSimilo – Libandla laVelonkhe).,February
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weKuchibela teMishado weBantfu beBulili Lobufananako [B 11B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza leTemphilo neTemisebenti yeTenhlalo – Umkhandlu waVelonkhe weTifundza).,February
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75) – (Select Committee on Health and Social Services – National Council of Provinces).,Umtsetfosivivinyo weKuchibela Sibopho seMbuso seteMtsetfo [B 16 - 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  Letebulungiswa Nekucondziswa Kwesimilo – Libandla laVelonkhe).,February
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,"Hulumende waseKhaya: Umtsetfosivivinyo weKuchibela Tinhlaka taBomasipala [B 19B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Tebudlelwano Nekubambisana Kwemave Emhlaba, Temanti neKuhlanta kanye neteKuhlaliswa Kwebantfu – Umkhandlu waVelonkhe weTifundza).",February
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).",Umtsetfosivivinyo weteLibhangesilulu laseNingizimu Afrika [B 26 – 2018 (Libandla laVelonkhe – sigaba-75) – (Likomidi leLimile letaVelonkhe leteTimali – Libandla laVelonkhe).,February
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,"Umtsetfosivivinyo waVelonkhe weKuchibela teKugembula [B 27B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leteKuhwebelana Netimboni, Kutfutfukiswa kweTemnotfo, Kutfutfukiswa kwemabhizinisi Lamancane, tekuvakasha, Tisebenti neKucashwa – Umkhandlu waVelonkhe weTifundza).",February
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).",Umtsetfosivivinyo weMshwalensi weTemphilo waVelonkhe [B 29 – 2018 (Likomidi leLibandla laVelonkhe – sigaba-76) – (Likomidi Velonkhe letemphilo – Libandla laVelonkhe).,February
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Umtsetfosivivinyo weKuchibela teKulawulwa kweTimali taHulumende [B 41  2018]  (Libandla laVelonkhe – sigaba-76) – (Likomidi leLimile letaVelonkhe leteTimali – Libandla laVelonkhe).,February
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,"Umtsetfosivivinyo weKuchibela Imitsetfo yeSayensi Netheknoloji l [B 42B  2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza neTheknoloji, Temidlalo, Tebuciko neTemasiko – Umkhandlu waVelonkhe weTifundza).",February
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weKuchibela teTindizamshini [B 44 – 2018 (Libandla laVelonkhe – sigaba-75) – (Likomidi leLibandla laVelonkhe leteTitfutsi – Libandla laVelonkhe).,February
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Hulumende waseKhaya: Umtsetfosivivinyo weKuchibela Tinchubo taBomasipala [B 2 - 2019] (Libandla laVelonkhe – sigaba se-76) – (Likomidi leteKubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).,February
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Umtsetfosivivinyo weMshwalensi wetemphilo waVelonkhe [B 11 – 2019 (Libandla laVelonkhe – sigaba-77) – (Likomidi Lelimile Letekwabiwa Kwetimali – Libandla laVelonkhe).,February
Recognition of Customary Marriages Amendment Bill [B 12  2019] (National Assembly – sec 76) – (Portfolio Committee on Justice and Correctional Services – National Assembly) (Referred to National House of Traditional Leaders on 8 November 2019).,Umtsetfosivivinyo weKuchibela Kwemukeleka kweMishado yeSintfu [B 12  2019] (Libandla laVelonkhe – sigaba se-76) – (Likomidi leLibandla laVelonkhe) (weNdluliselwe eNdlini yeBaholi beNdzabuko yaVelonkhe mhla ti-8 Lweti 2019).,February
Judicial Matters Amendment Bill [B 13 - 2019] (National Assembly –sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weKuchibela Tindzaba teteMajaji [B 13 - 2019] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  leTebulungiswa Nekucondziswa Kwesimilo – Libandla laVelonkhe).,February
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Umtsetfosivivinyo weteSisebenti Lesitimele Lesilawula Gezi [B 14 - 2019] (Libandla laVelonkhe – sigaba se-76) – (Likomidi leLibandla laVelonkhe  leTimbiwa Nemandla – Libandla laVelonkhe).,February
Military Discipline Bill [B 21  2019] (National Assembly – sec 75) – (Portfolio Committee on Defence and Military Veterans – National Assembly).,Umtsetfosivivinyo weKulawula Indlela yeKutiphatsa kweMbutfo weTemphi [B 21  2019](Libandla laVelonkhe – sigaba se-75 lesiphakanyisiwe) – (Likomidi leLibandla laVelonkhe  leTekuvikela neTigayigayi temphi – Libandla laVelonkhe).,February
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (National Assembly – proposed sec 75) - (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weKuchibela Timiso teMacala Langesiwo eBugebengu neTindzaba teteBugebengu (Emacala eteMacansi)[B 22 - 2019] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  leTebulungiswa neKucondziswa kweSimilo – Libandla laVelonkhe).,February
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weteKulawulwa kweTemnotfo weteTitfutsi [B 1 – 2020 (Libandla laVelonkhe – sigaba-76) – (Likomidi leLibandla laVelonkhe leteTitfutsi – Libandla laVelonkhe).,February
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance – National Assembly).,Umtsetfosivivinyo weKuchibela teBungcweti beteKuhlolwa kweMabhuku [B 2  2020]  (Libandla laVelonkhe – sigaba-76) – (Likomidi leLimile letaVelonkhe leteTimali – Libandla laVelonkhe).,February
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","IMITSETFOSIVIVINYO, LETAWUYA NGEKWETICHIBELO LETIPHAKANYISIWE, LEYETFULWE NGUMKHANDLU WETIFUNDZA WAVELONKHE YAPHINDZE FUTSI YABUYISELWA KULIBANDLA LAVELONKHE KUTE KUTSI KUVUNYELWANE NGAYO",February
Border Management Authority Bill [B 9B – 2016] (National Assembly – sec 75).,Umtsetfosivivinyo weLigunya Letekulawulwa kweMinyele [B 9B – 2016] (Libandla laVelonkhe – sigaba se-75).,February
Defence Amendment Bill [B 18 – 2017] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Tekuvikela [B 18 – 2017] (Libandla laVelonkhe – sigaba se-75).,February
BILLS AMENDED AND PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE,"IMITSETFOSIVIVINYO, LECHITJELWE YABUYE YETFULWA NGUMKHANDLU WETIFUNDZA WAVELONKHE YAPHINDZE FUTSI YABUYISELWA KULIBANDLA LAVELONKHE KUTE KUTSI KUVUNYELWANE NGAYO",February
National Public Health Institute of South Africa Bill [B 16D  2017] (National Assembly – sec 76).,Umtsetfosivivinyo weKuchibela teTitfutsi teMgwaco [B 7D – 2016] (Libandla laVelonkhe – sigaba se-76).,February
