eng,xho,source
Debate in terms of Rule 130: Phased-in approach to the reopening of schools by the Department of Basic Education – (Mr S L Ngcobo).,Ingxoxo-mpikiswano ngokoMqathango we-130: Indlela yokwaziswa ngokwezigaba ukuvulwa kwezikolo liSebe lezeMfundo esiSiseko– (uMnu S L Ngcobo).,August
"Consideration of Report of Portfolio Committee on Home Affairs on Oversight visit to Government Printing Works Head Office, Pretoria Gauteng (Announcements, Tablings and Committee Reports, 23 July 2020, p 13).","Ukuqwalaselwa kweNgxelo yeKomiti yeSebe lezeKhaya emalunga notyelelo lokoNgamela i-Ofisi enguNdlunkulu yeGovernment Printing Works, ePitoli eGauteng (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 23 kweyeKhala 2020, iphepha 13).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi yeNkonzo kaRhulumente kunye noLawulo umsebenzi wekota yesiBini neyesiThathu yoNyaka-mali wama-2019/20: iSebe leNkonzo kaRhulumente noLawulo, amaQumrhu kunye neKomishoni yeNkonzo kaRhulumente (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 11 kweyoKwindla 2020, iphepha 30).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezabaSebenzi bakaRhulumente noLawulo kumsebenzi wonyaka-mali wowama- 2019/20 weKota yesiBini neyesiThathu: Inkcukacha-manani eMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 11 kweyoKwindla 2020, iphepha 23).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi yeNkonzo kaRhulumente kunye noLawulo umsebenzi wekota yesiBini neyesiThathu yoNyaka-mali wama-2019/20: iSebe loCwangciso, ukuBeka eSweni noVavanyo kunye neMveliso yoMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 11 kweyoKwindla 2020, iphepha 15).",August
FURTHER BUSINESS,EMINYE IMIBA,August
ORDERS OF THE DAY:,IMIBA YOSUKU:,August
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi lezoThutho malunga noMthetho oYilwayo weSikimu seNzuzo yeeNgozi zeNdlela [B 17B – 2017] (iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 21 kweyeThupha 2020, iphepha 15).",August
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,UkuFundwa okwesiBini – noMthetho oYilwayo weSikimu seNzuzo yeeNgozi zeNdlela [B 17B – 2017] (iNdlu yoWiso-mthetho yeSizwe – sec 75) – (uMphathiswa wezoThutho).,August
"Consideration of Report of Portfolio Committee on Transport on 2019/20 Fourth Quarter Expenditure of Department of Transport (Announcements, Tablings and Committee Reports, 20 August 2020, p 26).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi lezoThutho malunga neNkcitho yeKota yeSine yeSebe lezoThutho yowama-2019/20 (iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 20 kweyeThupha 2020, iiphepha  26).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Announcements, Tablings and Committee Reports, 20 August 2020, p 16).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi yeNkonzo kaRhulumente kunye noLawulo malunga nokuQwalaselwa komsebenzi wekota yesine yonyaka-mali wama-2019/20: iSebe leNkonzo kaRhulumente noLawulo, amaQumrhu kunye neKomishoni yeNkonzo kaRhulumente (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 20 kweyeThupha 2020, iphepha 16).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 10).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi yeNkonzo kaRhulumente kunye noLawulo malunga nokuQwalaselwa komsebenzi wekota yesine yonyaka-mali wama-2019/20: Iinkcukacha-manani zoMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 20 kweyeThupha 2020, iphepha 10).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 2).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi yeNkonzo kaRhulumente kunye noLawulo malunga nokuQwalaselwa komsebenzi wekota yesine yonyaka-mali wama-2019/20: iSebe loCwangciso, ukuBeka eSweni noVavanyo kunye neMveliso yoMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 20 kweyeThupha 2020, iphepha 2).",August
"Consideration of Report of Portfolio Committee on Public Enterprises on Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP)  (Announcements, Tablings and Committee Reports, 19 August 2020, p 8).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi yezaMashishini kaRhulumente malunga Uxwebhu lwezikhalazo oluvela kubahlali baseJamestown, eStellenbosch, becela iNdlu ukuba iphande malunga nokudluliselwa kwamandla olawulo lombane waseJamestown kumasipala waseStellenbosch ngu-Eskom (uGq L Shreiber, iLungu lePalamente)  (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 19 kweyeThupha 2020, iphepha 28).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Announcements, Tablings and Committee Reports, 19 August 2020, p 6).","Ukuqwalaselwa kwengxelo yeKomiti yeSebe leMicimbi yaManina, uLutsha naBantu abaKhubazekileyo malunga neSazizo esiYilwayo esimalunga nokuMiselwa kokuHlawulwa kweMaziko oMgaqo-siseko aziMeleyo (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 19 kweyeThupha 2020, iphepha 6).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Filling of vacancies on National Youth Development Agency (NYDA) Board (Announcements, Tablings and Committee Reports, 6 August 2020, p 4).","Ukuqwalaselwa kweNgxelo yeKomiti yeSebe lezaManina, uLutsha naBantu abaKhubazekileyo engokuqeshwa kwabantu kwizithuba zomsebenzi kwiBhodi ye-Arhente yeSizwe yoPhuhliso loLutsha (i-NYDA) (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 6 kweyeThupha 2020, iphepha 4).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Announcements, Tablings and Committee Reports, 17 July 2020, p 205).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe leMfundo ePhakamileyo, ezeNzululwazi nobuChwepheshe engeziCwangciso eziQiqisisiweyo zowama-2020-2025 neziCwangciso zoNyaka zoMsebenzi kunye noHlahlo Lwabiwo-mali lowama-2020/21 seQumrhu leCandelo lezeMfundo noQeqesho kunye neNgxowa-mali yeSizwe yezaKhono (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 17 kweyeKhala 2020, iphepha 205).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Announcements, Tablings and Committee Reports, 17 July 2020, p 173).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezobuDlelwane naMazwe ngaMazwe neNtsebenziswano engenkcitho yeKota yesi-4 yowama-2019/20 yeSebe lezobuDlelwane naMazwe ngaMazwe neNtsebenziswano kunye neye-African Renaissance and International Cooperation Fund (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 17 kweyeKhala 2020, iphepha 173).",August
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on 2019/20 Fourth Quarter performance of Department of Public Works and Infrastructure and Property Management Trading Entity (Announcements, Tablings and Committee Reports, 15 July 2020, p 141).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeMisebenzi kaRhulumente neziSeko eziluncedo emalunga nemisebenzi yeKota yeSine yeSebe lezeMisebenzi kaRhulumente neziSeko eziluNcedo kunye neQumrhu loRhwebo loLawulo lwePropati (Izaziso, eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 15 kweyeKhala 2020, iphepha 141).",August
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezaMapolisa emalunga noXwebhu lwezikhalazo olungacelwanga elingokuqeshwa kwabo babe ngaMapolisa kumazwe ayesakuba ngamaphandle kwiNkonzo yaMapolisa oMzantsi Afrika (uMnu M Qongqo) (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 26 kweyeSilimela 2020, iphepha 20).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezaMapolisa emalunga noXwebhu lwezikhalazo elivela kubahlali baseWattville, eBenoni apho bacela iNdlu ukuba ishukuxe umba wokukhula kolwaphulo-mthetho, oluquka ubundlobongela obusekelwe kwisini kunye nobundlobongela kubantwana, futhi nesidingo sesikhululo samapolisa kwindawo yabo (olungeniswe nguNks H Ismail, iLungu lePalamente) kunye noXwebhu lwezikhalazo elivela kubahlali base-Actonville, eBenoni, apho bacela iNdlu ukuba iphande iqondo eliphezulu lolwaphulo-mthetho kunye neziyobisi, ukubonelela ngeevenkilana kwizikhululo zamapolisa kunye neenqwelo zamapolisa kwindawo yabo (olungeniswe nguNks H Ismail, iLungu lePalamente) (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 26 kweyeSilimela 2020, iphepha 15).",August
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezaMapolisa emalunga noXwebhu lwezikhalazo lukaMnu Cornelius Basson (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 26 kweyeSilimela 2020, iphepha 10).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezaMapolisa emalunga noXwebhu lwezikhalazo elivela kubahlali baseKempton Park, apho bacela iNdlu ukuba iphande ingxaki enkulu ethe gqolo yokungabonakali kwamapolisa ekuhlaleni kunye nokunqongophala kwezithuthi zamapolisa kwisikhululo samapolisa saseKempton Park (olungeniswe nguMnu M Waters, iLungu lePalamente) (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 26 kweyeSilimela 2020, iphepha 4).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezoRhwebo noShishino emalunga nomsebenzi wezezimali nongengowezezimali wekota yesine yonyaka-mali wowama-2019/20 weSebe lezoRhwebo noShishino neSebe loPhuhliso loQoqosho (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 25 kweyeSilimela 2020, iphepha 5).",August
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Ukuqwalaselwa kweNgxelo yeKomiti eDibeneyo esiSigxina engoKhuselo emalunga neeLeta ezisuka kuMongameli ezingokuQeshwa koMkhosi woKhuselo weSizwe woMzantsi Afrika eMozambique Channel, kwiDemocratic Republic of Congo, ukuya kwiSixeko iWuhan kwiPhondo iHubei leRiphabhliki yaBantu baseChina, kwanokuxhasa iiNkonzo zaMapolisa oMzantsi Afrika kunye namaSebe kaRhulumente (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 19 kweyeSilimela 2020, iphepha 3).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeNgqesho neMisebenzi emalunga neNgxelo yeKota yeSibini malunga nomsebenzi weSebe lezeNgqesho neMisebenzi namaqumrhu ekuhlangabezeni iinjongo ezinobuchule wowama-2019/20 (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 18 kweyeSilimela 2020, iphepha 120).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeNgqesho neMisebenzi emalunga neNgxelo yeKota yokuQala malunga nomsebenzi weSebe lezeNgqesho neMisebenzi namaqumrhu ekuhlangabezeni iinjongo ezinobuchule wowama-2019/20 (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 18 kweyeSilimela 2020, iphepha 81).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeNgqesho neMisebenzi emalunga neNgxelo yeKota yesiThathu malunga nomsebenzi weSebe lezeNgqesho neMisebenzi namaqumrhu ekuhlangabezeni iinjongo ezinobuchule wowama-2018/19 (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 18 kweyeSilimela 2020, iphepha 12).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezoRhwebo noShishino emalunga noMsebenzi weziMali neNgenguwo oweziMali weKota yesiThathu weSebe lezoRhwebo noShishino kunye noweloPhuhliso lwezoQoqosho kunyaka-mali wowama-2019/20 (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 19 kuCanzibe 2020, iphepha 3).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezoBudlelwano naMazwe ngamazwe ngoTyelelo lokuya kuHlola iprojekthi esaqalayo yokufuna ukuthenga indawo eza kuba yi-ofisi yeZiko elisiSigxina lezoZakuzo loMzantsi Afrika kwiZizwe eziManyeneyo kunye nekaNozakuzaku oMkhulu eNew York, eMelika (Izaziso, iiNgxelo eziza kuthiwa Thaca kunye neeNgxelo zeeKomiti, 16 kweyoKwindla 2020, iphepha 11).",August
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Isigqibo soMbuzo malunga neNgxelo yeKomiti yeMicimbi yeSebe lezeMfundo ePhakamileyo, ezeNzululwazi noBuchwepheshe malunga nengxelo kanyaka-mali wowama-2019/20 engoMsebenzi weKota yokuQala yezeMali nokuhanjiswa kweenkonzo liSebe lezeMfundo ePhakamileyo noQeqesho (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 5 kweyoMnga 2019, iphepha 64).",August
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeMfundo esiSiseko kwiziPhakamiso ezisuka kwiLifa leMveli laBantu bamaGriqua ezingokusilela kweZikolo zamaBanga aPhantsi (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 11 kweyoMdumba 2020, iphepha 5).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Ukuqwalaselwa kweNgxelo yeKomiti esiSigxina eDibeneyo engoLawulo lweziMali zePalamente engomsebenzi wekota yokuqala yowama-2019/20 wePalamente yeRiphabhliki yoMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 9 kweyoMnga 2019, iphepha 20).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Ukuqwalaselwa kweNgxelo yeKomiti esiSigxina eDibeneyo engoLawulo lweziMali zePalamente yeNgxelo yoNyaka yowama-2018/19 yePalamente yeRiphabhliki yoMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 9 kweyoMnga 2019, iphepha 5).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeMfundo ePhakamileyo, ezeNzululwazi noBuchwepheshe yeeNgxelo zoNyaka-mali wama-2018/19 zeNgxowa-mali yeSizwe yeZakhono kunye nooGunyaziwe bamaCandelo ezeMfundo noQeqesho (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 5 kweyoMnga 2019, iphepha 24).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezoRhwebo noShishino engoMsebenzi wezeziMali nongengowaMali weKota yeSibini yonyaka-mali wowama-2019/20 weSebe lezoRhwebo noShishino kunye nelezoPhuhliso lwezoQoqosho (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 5 kweyoMnga 2019, iphepha 4).",August
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Ukuqwalaselwa kweNgxelo yeKomiti esiSigxina yoMphicothi-zincwadi- Jikelele malunga neNgxelo yoNyaka eHlangeneyo yoMphicothi-zincwadi-Jikelele kunyaka-mali wowama-2018/19 (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 4 kweyoMnga 2019, iphepha 3).",August
MOTIONS (Notice given previously):,IZIPHAKAMISO (Izaziso ezazingeniswe kwangaphambili):,August
See p 309 (Mr N F Shivambu).,Jonga iphepha lama-309 (UMnu N F Shivambu).,August
APPENDIXES,IZIHLOMELO,August
PETITIONS REFERRED TO COMMITTEES,AMAXWEBHU EZIKHALAZO ATHUNYELWE KWIIKOMITI,August
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali besiXeko sase-Ekurhuleni, apho bacela iNdlu ukuba iphande iinkonzo zokuthuthwa kwenkunkuma ezingaqhubeki kakuhle kwindawo yabo (uNks H Ismail) – (iKomiti yeMicimbi yeSebe lezoBambiswano ngoLawulo neMicimbi yeMveli – iNdlu yoWiso-mthetho yeSizwe).",August
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali baseKokomeng neelali ezibangqongileyo, apho bacela iNdlu ukuba iphande ize ibeke phambili ukuvulwa kwakhona kwesikhululo samapolisa saseKokomeng (uMnu I S Seitlholo) – (iKomiti yeMicimbi yeSebe lezaMapolisa – iNdlu yoWiso-mthetho yeSizwe).",August
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uxwebhu lwezikhalazo oluvela kubahlali baseBredell, ePomona, eBrentwood Park kunye naseGlen Marais (kwaWadi 25), kwisiXeko sase-Ekurhuleni, becela iNdlu ukuba iphande ingxaki yokufadalala kweenkqubo zokuhambisa umbane kwiindawo zabo (uNks H Ismail) - (iKomiti yeMicimbi yeSebe lezoLawulo lweNtsebenziswano neMicimbi yezeMveli – iNdlu yoWiso-mthetho yeSizwe).",August
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Uxwebhu lwezikhalazo oluvela kubahlali base-Actonville, eBenoni, becela iNdlu ukuba iphande malunga nerente ephezulu ehlawulwa ngabaqeshi beeflethi eziphantsi kolawulo lwebhunga (uNks H Ismail) – (iKomiti yeMicimbi yeSebe lokuHlaliswa koLuntu, lezaManzi noGutyulo lwelindle – iNdlu yoWiso-mthetho yeSizwe).",August
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Uxwebhu lwezikhalazo oluvela kubahlali baseGermiston, Ekurhuleni, becela iNdlu ukuba iphande ukucima kombane eGermiston (uNks M Clarke) – (iKomiti yeMicimbi yeSebe lezaMashishini kaRhulumente – iNdlu yoWiso-mthetho yeSizwe).",August
