eng,ven,source
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 166).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i bvaho kha vhadzuli vha Alberton, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga ha u shela mulenzhe nga tshitshavha na u tevhedza mulayo kha mveledziso ya vhudzulo yo dzinginywaho ngei Alberton (yo ḓiswa nga Vho D Bergman, MP) (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 166).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition relating to Glen Marais Sub-Station Fire Incident under City of Ekurhuleni (Announcement, Tablings and Committee Reports, 18 June 2020, p 163).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i elanaho na Tshiwo tsho iteaho Tshiṱitshini tshiṱuku tsha Mulilo tsha Glen Marais tshi re fhasi ha Ḓorobo ya Ekurhuleni (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 163).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 160).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i bvaho kha vhadzuli vha Wadi ya 37, Alberton North, Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u ṱoḓisisa nga u dzula hu si ho mulayoni kha tshiṱentsi tsha 1/1224 nomboro ya 42, Second Avenue, Alberton North (yo ḓiswa nga Vho D Bergman, MP) (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 160).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition pertaining to Service Delivery in Nemallpius Ext 22, under City of Tshwane (Announcement, Tablings and Committee Reports, 18 June 2020, p 157).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i elanaho na Nḓisedzo ya Tshumelo ngei Nemallpius Ext 22, fhasi ha Ḓorobo ya Tshwane (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 157).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 120).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Thola na Mishumo nga Muvhigo wa Kotara ya Vhuvhili malugana na kushumele kwa Muhasho wa u Thola na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 120).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 81).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga Muvhigo wa Kotara ya u Thoma malugana na kushumele kwa Muhasho wa u Tholiwa na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 81).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcement, Tablings and Committee Reports, 18 June 2020, p 12).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga Muvhigo wa Kotara ya Vhuraru malugana na kushumele kwa Muhasho wa u Tholiwa na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2018/19 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 12).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcement, Tablings and Committee Reports, 18 June 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga madalo a Vhulavhelesi kha Ofisi Khulwane dza Tshikwama tsha Ndiliso (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 3).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcement, Tablings and Committee Reports, 19 May 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha Mihasho ya Mbambadzo na Nḓowetshumo na kwa Mveledziso ya Ikonomi na Kushumele Ku si kwa Masheleni na zwa Masheleni kha Kotara ya Vhuraru ya ṅwaha wa muvhalelano wa 2019/20  (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 19 Shundunthule 2020, s ḽa 3).",June
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga madalo a  kha thandela ya u thoma ya u wanwa ha ofisi ya vhudzulo ya Muambasada wa Tshoṱhe wa Afrika Tshipembe kha Vhuthihi ha Dzitshaka na Muimeleli Muhulwane ngei New York, United States of America (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 16 Ṱhafamuhwe 2020, s ḽa 11).",June
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","16. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi kha muvhigo wa Mashumele a nḓisedzo ya tshumelo na zwa masheleni a Kotara ya U thoma ya 2019/20 a Muhasho wa Pfunzo na Vhupfumbudzi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 64).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","17. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Muhasho wa Tshumelo ya Tshitshavha na Ndaulo, Zwiimiswa na Khomishini ya Tshumelo ya Tshitshavha (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 30).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","18. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Vha Dzimbalombalo vha Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 23).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","19. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Muhasho wa Vhupulani, u Vhea Iṱo na u Ela na Dzina ḽa u Vhambadza ḽa Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 15).",June
"Consideration of Report of Portfolio Committee on Basic Education on Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School, submitted by Mr I S Seitlholo, MP (Announcements, Tablings and Committee Reports, 26 February 2020, p 38).","20. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Mutheo nga Phethisheni i bvaho kha vhadzuli vha kusini kwa Dryharts, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga u vulwa hafhu ha Molehabangwe Middle School, wo ḓiswa nga Vho I S Seitlholo, MP (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Luhuhi 2020, s ḽa 38).",June
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","21. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Mutheo nga madalo a vhulavhelesi Zwiṱirikini zwa Pfunzo zwa Capricorn na Sekhukhune, Vunduni ḽa Limpopo (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Luhuhi 2020, s ḽa 6).",June
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","22. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Mutheo nga ha Ḽikumedzwa ḽi bvaho kha Vhufa ha Vhathu vha Griqua kha u sa vha hone ha Tshikolo tsha Phuraimari (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Luhuhi 2020, s ḽa 5).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","23. U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Ndangulo ya Masheleni a Phalamennde kha Mashumele a Phalamennde ya Riphabuḽiki ya Afrika Tshipembe kha kotara ya u thoma ya 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 9 Nyendavhusiku 2019, s ḽa 20).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","24. U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Ndangulo ya Masheleni a Phalamennde kha Muvhigo wa Ṅwaha wa 2018/19 wa Phalamennde ya Riphabuḽiki ya Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 9 Nyendavhusiku 2019, s ḽa 5).",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","25. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi kha Mivhigo ya Ṅwaha wa 2018/19 wa Tshikwama tsha Zwikili tsha Lushaka na Maanḓalanga a Sekhithara ya Pfunzo na Vhupfumbudzi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 24).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","26. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha Mihasho ya Mbambadzo na Nḓowetshumo na kwa Mveledziso ya Ikonomi na Kushumele Ku si kwa Masheleni na zwa Masheleni kha Kotara ya Vhuvhili ya ṅwaha wa muvhalelano wa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 4).",June
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","27. U vhalululwa ha Muvhigo wa Komiti nga ha Muoditha Dzhenerala kha Muvhigo wa Ṅwaha wo Ṱanganelaho wa Muoditha Dzhenerala wa ṅwaha wa muvhalelano wa 2018/19 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 4 Nyendavhusiku 2019, s ḽa 3).",June
MOTIONS (Notice given previously):,MAKUMEDZWA (Nḓivhadzo yo ṋetshedzwaho tshifhinga tsho fhiraho):,June
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Kha vha sedze mas a 94-96 (Vho R C Adams, Vho S Ngcobo, Vho M S Khawula, Vho N G Adoons, Vho S L Ngcobo, Vho T Breedt, Vho T Mgweba, Vho W M Thring, Vho N L S Kwankwa, Vho M L Shelembe, Vho E N Ntlangwini, Vho F A Masiko, Vho S H Mbuyane, Vho A S Hlongo, M.Gen O S Terblanche, Vho M G E Hendricks, Vho T S Mpanza, Vho P P Keetse).",June
APPENDIXES,ṰHUMETSHEDZO,June
PETITIONS REFERRED TO COMMITTEES,PHETHISHINI DZO RUMELWAHO KHA DZIKOMITI,June
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).","Phethishini i bvaho kha vhadzuli vha Kempton Park, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u vhonala ha mapholisa hu songo linganaho tshifhinga tshoṱhe na u ṱahela ha zwiendedzi tshiṱitshini tsha mapholisa tsha Kempton Park (Vho M Waters) – (Komiti ya Phothifoḽio nga ha Mapholisa – Buthano ḽa Lushaka).",June
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","2. Phethishini i bvaho kha vhadzuli vha Wattville, Benoni vha itaho khuwelelo kha Buthano uri ḽi tandulule vhugevhenga vhu khou ṋaṋaho, hu tshi katelwa na khakhathi dza mbeu na khakhathi dzi itelwaho vhana, na ṱhoḓea ya tshiṱitshi tsha mapholisa vhuponi uho (Vho H Ismail) – (Komiti ya Phothifoḽio nga ha Mapholisa – Buthano ḽa Lushaka).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","3. Phethishini i bvaho kha vhadzuli vha Actonville, Benoni vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise phimo ya vhugevhenga na zwidzidzivhadzi i re nṱha, ṋetshedzo ya dzikiosiki dza mapholisa na mimoḓoro ya mapholisa vhuponi uho (Vho H Ismail) – (Komiti ya Phothifoḽio nga ha Mapholisa – Buthano ḽa Lushaka).",June
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","4. Phethishini i bvaho kha vhadzuli vha Ḓorobo khulwane ya Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga tshumelo dza u bvisa mashika dzi dzulelaho u ṱahela vhuponi uho (Vho H Ismail) - (Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala – Buthano ḽa Lushaka).",June
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","5.	Phethishini i bvaho kha vhadzuli vha Kokomeng na zwisi zwa nga tsini, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise na u dzhia sa zwa ndeme u vulwa hafhu ha tshiṱitshi tsha mapholisa tsha Kokomeng (Vho I S Seitlholo) – (Komiti ya Phothifoḽio nga ha Mapholisa – Buthano ḽa Lushaka).",June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","6.      Phethishini i bvaho kha vhadzuli vha Bredell, Pomona, Brentwood Park na Glen Marais (wadi ya 25), Ḓorobo Khulwane ya Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga u wa ha nḓisedzo i fulufhedzeaho ya muḓagasi vhuponi havho (Vho H Ismail) – (Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala – Buthano ḽa Lushaka).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","7. Phethishini i bvaho kha vhadzuli vha Actonville, Benoni vha itaho   khuwelelo kha Buthano uri ḽi ṱoḓisise nga mbadelo dza nṱhesa dza rennde dzo badelwaho nga vhahiri vha fuḽethe dza khoro (Vho H Ismail) – (Komiti ya Phothifoḽio nga ha Vhudzulo ha Vhathu, Maḓi na Tshampungane – Buthano ḽa Lushaka).",June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),MILAYOTIBE YO RUMELWAHO KHA KOMITI YA U KHETHEKANYA YO ṰANGANELAHO (JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,U Khwiniswa ha Mulayotibe wa Khwiniso ya Pfanelo dza Vhuṋe ha Mavu [B 6 - 2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho).,June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76).,Mulayotibe wa Khwiniso ya Vhuendi ha Badani ha Lushaka [B7-2020] Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76).,Mulayotibe wa Khwiniso ya Ṱhiraibunala ya Aphiḽi ya Vhuendi [B8-2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho).,June
BILLS REFERRED TO COMMITTEES,MILAYOTIBE YO FHIRISELWAHO KHA KOMITI,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Mulayotibe wa Tsireledzo ya Mafhungo a Muvhuso [B 6H – 2010] (Buthano ḽa Lushaka – khet ya 75) na u sa fushea ha Muphuresidennde nga ha u vha mulayoni ha Mulayotibe sa zwe wa iswa khavho (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 12 Fulwi 2020, s ḽa 7) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi – Buthano ḽa Lushaka).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Mulayotibe wa Khwiniso ya Zwibveledzwa zwa Mahalwa [B 10B – 2016] (Buthano ḽa Lushaka – khet ya 75) na u sa fushea ha Muphuresidennde nga ha u vha mulayoni ha Mulayotibe sa zwe wa iswa khavho (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 12 Fulwi 2020, s ḽa 2) – (Komiti ya Phothifoḽio nga ha Vhulimi, Mbuedzedzo ya Mavu na Mveledziso ya Mahayani – Buthano ḽa Lushaka).",June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Mulayotibe wa Khothe dza Sialala [B 1B – 2017] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Tshikimu tsha Mbuelo dza Khombo dza Badani [B 17B – 2017] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Mulayotibe wa Vhugevhenga ha Dzitshaka [B 37 – 2017] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Ndulamiso – Buthano ḽa Lushaka).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Mulayotibe wa Khwiniso ya Khamphani ya Vhukavhamabufho [B 5B – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Vhuendi, Tshumelo ya Tshitshavha na Vhulanguli, Mishumo ya Tshitshavha na Themamveledziso – Khoro ya Lushaka ya Mavundu).",June
