eng,nbl,source
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Announcements, Tablings and Committee Reports, 19 August 2020, p 6).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha yeenDaba zabAntu beNgubo, uLutjha nabAntu abaphila nokuKhubazeka omayelana nesAziso seTlhatlha lokuBeka iiNdlela zokuBhadelwa kwemiRholo kweeNkhungo eziziJameleko eziMayelana noMthethosisekelo (iiMemezelo, iZethulo nemiBiko yeKomidi, 19 kuRhoboyi 2020, ikh 6).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Filling of vacancies on National Youth Development Agency (NYDA) Board (Announcements, Tablings and Committee Reports, 6 August 2020, p 4).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yeeNdaba zabAntu beNgubo, iLutjha nabAntu abaphila nokuKhubazeka ngombiko wokuZaliswa kweenkhundla zomsebenzi eBhodini yeNarha yeZiko lokuThuthukiswa kweLutjha i-(NYDA) (iiMemezelo, iZethulo nemiBiko yeKomidi, 6 Rhoboyi 2020, ikh 4).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Announcements, Tablings and Committee Reports, 17 July 2020, p 205).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeFundo ePhakemeko, iSayensi neThekhnoloji omayelana neeNkhulu zoMkhakha weFundo nokuBandula nesiKhwama samaKghono seNarha wangonmnyaka ween-2020 – 2025 Amano wokuSebenza womNyaka wangomnyaka ween-2020/21 Amano wamaHlelo wokuSebenza nezAbelomali (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahilnze 2020, ikh 205).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Announcements, Tablings and Committee Reports, 17 July 2020, p 173).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezoBudlelwano beeNtjhabatjhaba nokuBusa ngokuHlanganyela omayelana nokusebenza komNyango wezoBudlelwano beeNtjhabatjhaba nokuBusa ngokuHlanganyela nokuBuyisa kwe-Afrika kunye nesiKhwama seeMali sokuSebenzisa seenTjhabatjhaba kokusetrjenzswa kwemali kweKota yesine yomnyaka ween-2019/20 (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 173).",August
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on 2019/20 Fourth Quarter performance of Department of Public Works and Infrastructure and Property Management Trading Entity (Announcements, Tablings and Committee Reports, 15 July 2020, p 141).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yomSebenzi womPhakathi nomThangalasiseko omayelana nokusebenza kweKota yeSine yomnyaka ween-2019/20 komNyango wemiSebenzi yomPhakathi nomThangalasiseko nokuLawulwa kweBubulo lezokuThengiswa kwePahla (iiMemezelo, izethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 141",August
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa omayelana neNcwadi yeeNlilo engaziwako bona ibuyaphi malungana nokuBuyiselwa kwamalunga weforamu wangaphambilini ukufakwa emisebenzini yesiPholisa. (Nom M Qongqo) (iiMemezelo, iZethulo nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh 20).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Ukutjhejwa kombiko weKomidi yesiBethamthetho seNarha yezesiPholisa omayelana neNcwadi yeenlilo evela kuzakhamuzi ze-Wattville, e-Benoni ebawa bona iNdlu yesiBethamthetho seNarha ilungise umraro wokukhula kobulelesi, ukufakahlangana umgurguru wobulili nomguruguru oqaliswe ebantwaneni nesidingo sokwakhiwa kwesitetjhi samapholisa endaweni yabo (ethunyelwe ngu-Mma. H Ismail) neNcwadi yeenlilo evela kuzakhamuzi ze-Actonville, e-Benoni, ebawa bona iNdlu yesiBethamthetho seNarha iphenye izinga eliphezulu lobulelesi neendakamizwa, ukunikela ngeendlwana neenthuthi zamapholisa endaweni yabo (ethunyelwe ngu-Mma. H Ismail, iLunga lePalamende) (iiMemezelo, iZethulo nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh 15).",August
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa omayelana neNcwadi yeeNlilo ka-Nom Cornelius Basson (iiMemezelo, iZethulo, nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh10).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa omayelana neNcwadi yeenlilo evela kuzakhamuzi zeKempton Park, ebawa bona iNdlu yesiBethamthetho seNarha iphenyisise ngomraro wokungabonakali kokusebenza kwamapholisa emphakathini nokutlhayela kweenkoloyi esitetjhini samapholisa se-Kempton Park (ithunyelwe ngu-Nom. M Waters) (iiMemezelo, iZethulo nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh 4).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeRhwebo namBubulo mayelana neKota yesine yezemali nemali ezingakasetjhenziswa zomnyaka ween-2019/20 zomnyaka weemali yemiNyango yezeRhwebo namaBubulo newokuThuthukiswa komNotho (isiMemezelo, iZethulo nemiBiko yeKomidi, 25 Mgwengweni 2020, ikh 5).",August
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Ukutjhejwa komBiko weKomidi yeHlanganyela yaSafuthi yesiBethamthetho seNarha yezokuVikela mayelana neeNcwadi ezitlolwe nguMongameli malungana nokuQhatjhwa kwaMajoni wezokuVikela weNarha eMrhobeni weMozambique, ne-Democratic Republic of Congo, neDrobheni le-Wuhan esiFundeni se-Hubei e-People’s Republic of China, nokusekela umSebenzi wemaPholisa weSewula Afika neminye imiNyango yomBuso (isiMemezelo, iZethulo nemiBiko yeKomidi, 19 Mgwengweni 2020, ikh 3).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Ukutjhejwa komBiko weKomidi yesiBethamtetho seNarha yezokuQhatjha nomSebenzi mayelana nomBiko weKota yesiBili malungana nokusebenza komNyango wokuQhatjha nomSebenzi namabubulo wombuso ekuhlangabezaneni neminqopho yamano wangomnyaka ween-2019/20 (isiMemezelo, iZethulo nemiBiko yeKomidi, 18 Mgwengweni 2020, ikh 120).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Ukutjhejwa komBiko weKomidi yesiBethamtetho seNarha yezokuQhatjha nomSebenzi mayelana nomBiko weKota yokuThoma malungana nokusebenza komNyango wokuQhatjha nomSebenzi namabubulo wombuso ekuhlangabezaneni neminqopho yamano wangomnyaka ween-2019/20 (isiMemezelo, iZethulo nemiBiko yeKomidi, 18 Mgwengweni 2020, ikh 81).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Ukutjhejwa komBiko weKomidi yesiBethamtetho seNarha yezokuQhatjha nomSebenzi mayelana nomBiko weKota yesiThathu malungana nokusebenza komNyango wokuQhatjha nomSebenzi namabubulo wombuso ekuhlangabezaneni neminqopho yamano wangomnyaka ween-2018/19 (isiMemezelo, iZethulo nemiBiko yeKomidi, 18 Mgwengweni 2020, ikh 12).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeRhwebo namaBubulo mayelana neKota yezeeMali yesiThathu yomNyango wezeRhwebo namaBubulo nomSebenzi wezinto ezingaFuni iMali emnyakeni weemali wangomnyaka ween-2019/20 (isiMemezelo, iZethulo nemiBiko yeKomidi, 19 Ntaka 2020, ikh 3).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezoBudlelwano beeNtjhabatjhaba nokuHlanganyela mayelana nevakatjho lokuTjhejisisa malungana nehlelo lokulingelela kokutholwa kweendawo zama-ofisi wabaZenda baSafuthi beSewula Afrika ne-Consulate-General e-New York, e-United States of America (isiMemezelo, iZethulo, nemiBiko yeKomidi, 16 Ntaka 2020, ikh 11).",August
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Isiqunto somBuzo malungana nomBiko weKomidi yesiBethamthetho seNarha yezeFundo ePhakemeko, iSayensi neThekhinoloji mayelana neKota yokuThoma yeMali yangomnyaka ween-2019/20 nombiko wokuthulwa komsebenzi womNyango wezefundo ePhakemeko nokuBantula (iiMemezelo, iZethulo nemiBiko yeKomidi, 5 Nobayeni 2020, ikh 64).",August
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha okumayelana neemPhakamisi ezivela nabAntu bamaGugu beGriquamayelana nokutlhayela kwesikolo seFundosisekelo (iiMemezelo, iZethulo nemiBiko yeKomidi, ii kuMhlolanja 2020. ikh 5)",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha yezokuPhathwa kweeMali zePalamende mayelana nokusebenza kwekota yokuthoma yeRiphabliki yeSewula Afrika yangomnyaka ween-2019/20 (iiMemezelo, iZethulo nemiBiko yeKomidi, 9 Nobayeni 2020, ikh 20).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha yezokuPhathwa kweeMali zePalamende mayelana nokusebenza kwekota yokuthoma yeRiphabliki yeSewula Afrika yangomnyaka ween-2018/19 (iiMemezelo, iZethulo nemiBiko yeKomidi, 9 Nobayeni 2020, ikh 5).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Ukutjhejwa kweKomidi yesiBethamthetho seNarha yezeFundo ePhakemeko, iSayensi neThekhinoloji mayelana nemiBiko waQobe ngomNyaka wangomnyaka ween-2018/19 wesiKhwama samaKghono weNarha nomKhakha wezeFundo neemBethamthetho zokuBantula (iiMemezelo, iZethulo nemiBiko yeKomidi, 9 Nobayeni 2020, ikh 24).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuRhweba namaBubulo mayelana nomNyango wezeRhwebo namaBubulo nokuThuthukiswa komNotho weKota yesiBili yomNyaka weeMali nokungaSebenzi kweeMali zomnyaka ween-2019/20 emnyakeni wemali (iiMemezelo, iZethulo nemiBiko yeKomidi, 9 Nobayeni 2020, ikh 4).",August
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha malungana noMhloli-maZombe mayelana nomBiko womNyaka oHlangeneko woMhloli-maZombe womnyaka wemali ween-2018/19 (iiMemezelo, iZethulo nemiBiko yeKomidi, 4 Nobayeni 2019, ikh 3).",August
MOTIONS (Notice given previously):,IINTJHUKUMISO (Izaziso ezaziswe esikhathini esidlulileko):,August
See p 309 (Mr N F Shivambu).,Qala ikh 309 (Nom. N F Shivambu).,August
APPENDIXES,IINTHASISELO,August
PETITIONS REFERRED TO COMMITTEES,IINLILO EZIDLULISELWE EMAKOMIDIDNI,August
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Incwadi yeenlilo evela kuzakhamuzi ze-City of Ekurhuleni, ebawa bona iNdlu yesiBethamthetho seNarha iphenye isenzo esithuwelelako sokungathuthwa kuhle kwefucufucu endaweni yabo (Kkz. H Ismail) – (iKomidi yesiBethamthetho seNarha yezokuBusa ngokuHlanganyela neeNdaba zeNdabuko).",August
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Incwadi yeenLilo yezakhamuzi ze-Kokomeng nezabelo ezibomakhelwana bayo, ezenza ibizelo bona iNdlu yesiBethamthetho seNarha yenze kube liqaloqangi ukuvulwa kabutjha kwesitetjhi samaPholisa i-Kokomeng (Nom. I S Seitlholo) – (iKomidi yesiBethamthetho seNarha yezesiPholisa).",August
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Incwadi yeenlilo yezakhamuzi ze-Bredell, e-Pomona, e-Brentwood Park kunye ne-Glen Marais (iwadi 25), iDorobha le-Ekurhuleni, ezenza ibizelo bona iNdlu yesiBethamthetho seNarha yenze iphenyo ngokuwohloka komthangalasisekelo wokuphakela igezi eendaweni zabo (Kkz. H Ismail) – (iKomidi yeNdlu yesiBethamthetho yezokuYokuBusa ngeHlanganyela neeNdaba zeNdabuko).",August
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Incwadi yeenlilo yezakhamuzi zendawo ye-Actonville, Benoni, eyenza ibizelo bona iNdlu yesiBethamthetho seNarha iphenye mayelana nokubhadela okubiza khulu kwemali yokuqatjha ebhadelwa baqatjhi emafledeni abanikazi okumakhansela (Kkz. H Ismail) – (iKomidi yesiBethethamthetho seNarha yezokuHlaliswa kwaBantu, Amanzi nokuThuthwa kweFucufucu).",August
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Incwadi yeenlilo evela ezakhamuzini ze-Germiston, e-Ekurhuleni, ebawa iNdlu yesiBethamthetho seNarha bona iphenye ngokuqima kwegezi e-Germiston (Mma M Clarke) – (iKomidi yesiBethamthetho seNarha yamaBubulo womBuso).",August
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Incwadi yeenlilo evela ezakhamuzini ze-Drobheni le-Letsitele, ku-Ward 23, e-Tzaneen, ebawa bona iNdlu yesiBethamthetho seNarha iyaqinisekisa bona umasipala we-Tzaneen ulandela umthetho, nomthetho wabomasipala neembandela ebekiweko, begodu usebenzisa imilayo ebekiweko wezemvelo bewaba iindawo ngokufaneleko, begodu utjheje bewuphelise nazozoke izehlakalo ezingekho emthethweni (Mma D van der Walt) – (iKomidi yesiBethamthetho seNarha yokuBusa ngokuHlanganyela neeNdaba zeNdabuko).",August
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Incwadi yeenlilo evela kubosomaplasi nomphakathi we-Tzaneen, e-Limpopo, ezijanyelwe yi-AGRI Letaba, ebawa iNdlu yesiBethamthetho seNarha bona iphenye ngokuqinywa kwegezi okwandileko, ngokwehliswa kwamadla wegezi, ukuphungula kwamandla womlilo nokubhalelwa kokuphathwa kwegezi ukusukela ngomnyaka ween-2016 ngonobangela wokubhalelwa koMasipala we-Greater Tzaneen (Mma D van der Walt) – (iKomidi yesiBethamthetho seNarha yezokuBusa ngokuHlanganyela neeNdaba zeNdabuko – iNdlu yesiBethamthetho seNarha).",August
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),IMITHETHOMLINGWA EDLULISELWE KUKOMIDIHLANGANYELA YOKUHLENGA (I-JTM),August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75).,IsiKhibelelo somThethomlingwa wemiThetho yomKhakha weeMali [i-B 15 - 2020] (iNdlu yesiBethamthetho seNarha – isigaba esihlongozwako 75).,August
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75).,IsiKhibelelo soMthetho wemiThetho (ubuLelesi bezoMseme neeNdaba ezikhambisana nabo) [i-B 16  2020] (iNdlu yesiBethamthetho seNarha – isigaba esihlongozwako 75).,August
BILLS REFERRED TO COMMITTEES,IMITHETHOMLINGWA EDLULISELWE EMAKOMIDINI,August
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","IsiKhibelelo somThethomlingwa wokuVikelwa kweLwazi lomBuso [i-B 6H – 2010] (iNdlu yesiBethamthetho seNarha – isg 75) begodu nesiqunto esithethwe nguMongameli malungana nokuthi umThethomlingwa lo uyakhambisana nomthethosisekelo njengoba uthunyelwe kuye (iiMemezelo, iZethulo, imiBiko yeKomidi, 12 Mgwengweni 2020, ikh 7) – IKomidi yesiBethamthetho seNarha yezoBulungiswa nomSebenzi wokuVuselelwa kweeMilo – iNdlu yesiBethamthetho seNarha",August
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","IsiKhibelelo somThethomlingwa somKhiqhizo woTjhwala [i-B 10B – 2016] (iNdlu yesiBethamthetho seNarha – isg 75) begodu nesiquntu esithethwe nguMongameli malungana nokuthi umThethomlingwa lo uyakhambisana nomthethomsekelo njengoba uthunyelwe kuye (iiMemezelo, iZethulo imiBiko yeKomidi, 12 Mgwengweni 2020, ikh 2) – Ikomidi yesiBethamthetho seNarha yezeBhoduluko, iNarha nokuThuthukiswa kweNdawo zemaPlasini – iNdlu yesiBethamthetho seNarha)",August
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","IsiKhibelelo somThethomlingwa wokuVikelwa kwabaLingisi [i-B 24B - 2016] (iNdlu yesiBethamthetho seNarha – isg 75) nombono kaMongameli malungana nokukhambisana nomthethosisekelo komThethomlingwa njengoba uthunyelwe kuye (iiMemezelo, iZethulo nemiBiko yeKomidi, 22 Mgwengweni 2020, ikh 2) – (iKomidi yesiBethamthetho seNarha yezeRhwebo namaBubulo – iNdlu yesiBethamthetho seNarha).",August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,UmThethomlingwa wamaKhotho weNdabuko [i-B 1B – 2017] (iNdlu yesiBethamthetho seNarha isig 76) (iKomidi eKhethekileko yezamaPhilo yeNdlu yomKhandlu weNarha oNgamele iimFunda).,August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UmThethomlingwa wobuLelesi bamaThungelelwano wokuThintana ngoMoya) [i-B 6B – 2017] (iNdlu yesiBethamthetho seNarha – isig 75) (iKomidi eKhethekileko yezeVikeleko nobuLungiswa yeNdlu yomKhandlu weNarha oNgamele iimFunda).,August
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","IsiKhibelelo somThethomlingwa woBunikazi bePahla [i-B 13B - 2017] (indlu yesiBethamthetho seNarha – isg 75) nombono kaMongameli malungana nokukhambisana nomthethosisekelo komThethomlingwa njengoba uthunyelwe kuye (iiMemezelo, iZethulo nemiBiko yeKomidi, 22 Mgwengweni 2020, ikh 2) – (iKomidi yesiBethamthetho seNarha yezeRhwebo namaBubulo – iNdlu yesiBethamthetho seNarha).",August
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UmThethomlingwa wobuLelesi beenTjhabatjhaba [i-B 37 – 2017] (iNdlu yesiBethathetho seNarha – isig 75) (iKomidi yasaFuthi yesiBethamethetho seNarha yezobuLubungiswa nemiSebenzi yezokuVuselelwa kweSimilo).,August
