eng,nso,source
Debate in terms of Rule 130: Phased-in approach to the reopening of schools by the Department of Basic Education – (Mr S L Ngcobo).,Ngangišano mabapi le Molao wa 130: Leano la go tsenywa ga nnyane ga nnyane la go bula ga dikolo la Kgoro ya Thuto ya Motheo – (Mr S L Ngcobo).,August
"Consideration of Report of Portfolio Committee on Home Affairs on Oversight visit to Government Printing Works Head Office, Pretoria Gauteng (Announcements, Tablings and Committee Reports, 23 July 2020, p 13).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Merero ya Selegae ka Ketelo ya Tekodišišo Ofisingkgolo ya Mešomo ya Kgatišo ya Mmušo, Pretoria Gauteng (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 23 Julae 2020, letl 13).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Ditirelo tša Setšhaba le Taolo ka ga Phethagatšo ya kotara ya Bobedi le ya Boraro ya ngwaga wa ditšhelete wa 2019/20: Kgoro ya Ditirelo tša Setšhaba le Taolo, Dihlongwa le Khomišene ya Ditirelo tša Setšhaba (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 11 Matšhe 2020, letl 30).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Ditirelo tša Setšhaba le Taolo ka ga phethagatšo ya Kotara ya Bobedi le ya Boraro ya ngwaga wa ditšhelete wa 2019/20: Dipalopalo tša Afrika Borwa (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 11 Matšhe 2020, letl 23).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Ditirelo tša Setšhaba le Taolo ka ga phethagatšo ya kotara ya Bobedi le ya Boraro ya ngwaga wa ditšhelete wa 2019/20: Kgoro ya Togamaano, Tlhokomedišišo le Tekodišišo le Brand South Africa (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 11 Matšhe 2020, letl 15).",August
FURTHER BUSINESS,TŠWETŠOPELE YA MORERO,August
ORDERS OF THE DAY:,TSHEPETŠO YA LETŠATŠI:,August
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Dinamelwa ka ga Molaokakanywa wa Sekema sa Dikotsi tša Tseleng [B 17B – 2017] (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 21 Agostose 2020, letl 15).",August
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,Palo ya Bobedi – Molaokakanywa wa Sekema sa Dikotsi tša Tseleng [B 17B – 2017] (Ngwako wa Bosetšhaba - karolo ya 75) – (Tona ya tša Dinamelwa).,August
"Consideration of Report of Portfolio Committee on Transport on 2019/20 Fourth Quarter Expenditure of Department of Transport (Announcements, Tablings and Committee Reports, 20 August 2020, p 26).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Dinamelwa ka ga Ditshenyagelo tša Kotara ya Bone ya 2019/20 ya Kgoro ya tša Dinamelwa (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 20 Agostose 2020, letl 26).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Announcements, Tablings and Committee Reports, 20 August 2020, p 16).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Ditirelo tša Setšhaba le Taolo ka ga Keleletšo ya kotare ya phethagatšo ya bone ya ngwaga wa ditšhelete wa 2019/20: Kgoro ya Ditirelo tša Setšhaba le Taolo, Dihlongwa le Khomišene ya Ditirelo tša Setšhaba (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 20 Agostose 2020, letl 16).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 10).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Ditirelo tša Setšhaba le Taolo ka ga Keleletšo ya kotare ya phethagatšo ya bone ya ngwaga wa ditšhelete wa 2019/20: Dipalopalo tša Afrika Borwa (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 20 Agostose 2020, letl 10).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 2).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Ditirelo tša Setšhaba le Taolo ka ga Keleletšo ya kotare ya phethagatšo ya bone ya ngwaga wa ditšhelete wa 2019/20: Kgoro ya Togamano, Tlhokomedišišo le Tshekatsheko le Brand South Africa (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti s, 20 Agostose 2020, letl 2).",August
"Consideration of Report of Portfolio Committee on Public Enterprises on Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP)  (Announcements, Tablings and Committee Reports, 19 August 2020, p 8).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Dikgwebo tša Mmušo ka ga Phetišene go tšwa go badudi ba Jamestown, go la Stellenbosch, ba dira boipiletšo go Kopano gore e nyakišiše ka phetišetšo ya taolo ya maatla a motlagase ka Eskom go neteweke ya motlagase go Jamestown go ya go mmasepala wa Stellenbosch (e hlagišitšwe ke Dr L Shreiber, MP) (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 19 Agostose 2020, letl 8).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Announcements, Tablings and Committee Reports, 19 August 2020, p 6).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Basadi, Baswa le Batho bao ba Itekanelago ka ga Tšhišinyo-Kakanywa mabapi le Putseletšo le Metheo ya Semolaotheo yeo Ikemetšego ka noši (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 19 Agostose 2020, letl 6).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Filling of vacancies on National Youth Development Agency (NYDA) Board (Announcements, Tablings and Committee Reports, 6 August 2020, p 4).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Basadi, Baswa le Batho bao ba Itekanelago ka go Tlatša dikgoba tša Poto ya Etšentshi ya Bosetšhaba ya Tlhabollo ya Baswa (NYDA) Board (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 6 Agostose 2020, letl 4).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Announcements, Tablings and Committee Reports, 17 July 2020, p 205).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Thuto ya Maemo a Godimo, tša Mahlale le Theknolotši ka Thuto ya Lekala le Bolaodi bja Tlhahlo le Sekhwama sa Mabokgoni sa Bosetšhaba 2020 – 2025 Togamaano le Maano a Phethagatšo a Ngwaga ka Ngwaga le Kabotekanyetšo 2020/21 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 17 Julae 2020, letl 205).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Announcements, Tablings and Committee Reports, 17 July 2020, p 173).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Dikamano tša Boditšhabatšhaba le Tirišano ka Phethagatšo ya ditshenyagalelo tša Kotara ya bo4 2019/20 ya Kgoro ya Dikamano tša Boditšhabatšhaba le Tirišano le Renaisense ya Afrika le Sekhwama sa Dikamano tša Boditšhabatšhaba le Tirišano (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 17 Julae 2020, letl 173).",August
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on 2019/20 Fourth Quarter performance of Department of Public Works and Infrastructure and Property Management Trading Entity (Announcements, Tablings and Committee Reports, 15 July 2020, p 141).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Mešomo ya Setšhaba le Mafarahlahla ka Phethagatšo ya Kotara ya Bone ya 2019/20 ya Kgoro ya Mešomo ya Setšhaba le Mafarahlahla le Sehlongwa sa Taolo ya Dithoto (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 15 Julae 2020, letl 141).",August
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Maphodisa ka ga Phethišene yeo e sego ya fiwa ka go ngwala Lenaneo gape la maloko a pele a foramo ya Maphodisa ka go Ditirelo tša maphodisa (Mna M Qongqo) (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 26 June 2020, letl 20).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Maphodisa ka ga Phethišene go tšwa go badudi ba Wattville, go la Benoni ba dira boipiletšo go Kopano gore e rarolle bosenyi bjo bo gaketšego, go akaretšwa dikgaruru tša go amana le bong gammogo le dikgaruru kgahlanong le bana, le phethišene go tšwa go badudi ba Actonville, go la Benoni ba dira boipiletšo go Kopano gore o dire dinyakišišo ka bosenyi bjo bo lego godimo le tšhomišo ya diokobatši, kabo ya mengwakwana yeo maphodisa a šomelago ka go yona le difatanaga tša maphodisa tikologong ya bona (e rometšwe ke Moh H Ismail, MP) – (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, letl 15).",August
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Maphodisa ka Phethišene ya Mna Cornelius Basson (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 26 June 2020, letl 10).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Maphodisa ka Phethišene ya go tšwa baduding ba Kempton Park ba kgopela Kopano go nyakišiša ka palo ya tlase yeo e phelago e le bjalo ya ponagalo ya maphodisa le tlhaelelo ya difatanaga setešeneng sa maphodisa sa Kempton Park (e rometšwe ke Mna M Waters, MP) (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 26 June 2020, letl 4).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Kgwebo le Intasteri ka ga Phethagatšo ya ngwaga wa ditšhelete le tšeo e sego ditšhelete tša ngwaga wa ditšhelete wa 2019/20 tša kotara ya bone ya dikgoro tša Kgwebo le intasteri le ya Tlhabollo ya Ekonomi (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 25 June 2020, letl 5).",August
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Mokopanelwa ya Sešole ka Mangwalo a go tšwa go Mopresidente a Thwalo ya Bahlabani ba Sešole sa Bosetšhaba sa Afrika Borwa kua Tšhaneleng ya Mozambique, Democratic Republic of Congo, go ya go Toropokgolo ya Wuhan kua Profenseng ya Hubei ka Rephabliking ya Batho ya China, le go thekga Ditirelo tša Sephodisa tša Afrika Borwa le Dikgoro tše dingwe tša Mmušo (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 19 June 2020, letl 3).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Keleletšo ya Pego ya Komiti ya Phothefolio ya tša Thwalo le Mešomo ka Pego ya Bobedi ya Kotara ka Kotara ya Bobedi mabapi le phethagatšo ya Kgoro ya tša Thwalo le Mešomo le dihlongwa go fihlelela maikemišetšo a maano a 2019/20 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 18 June 2020, letl 120).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Keleletšo ya Pego ya Komiti ya Phothefolio ya tša Thwalo le Mešomo ka Pego ya Mathomo ya Kotara ka Kotara ya mabapi le phethagatšo ya Kgoro ya tša Thwalo le Mešomo le dihlongwa go fihlelela maikemišetšo a maano a 2019/20 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 18 June 2020, letl 81).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Keleletšo ya Pego ya Komiti ya Phothefolio ya tša Thwalo le Mešomo ka Pego ya Boraro ya Kotara ka Kotara ya mabapi le phethagatšo ya Kgoro ya tša Thwalo le Mešomo le dihlongwa go fihlelela maikemišetšo a maano a 2018/19 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 18 June 2020, letl 12).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Kgwebo le Intasteri ka Phethagatšo ya Ditšhelete le wo e sego wa Ditšhelete wa Kotara ya Boraro wa ngwaga ditšhelete wa 2019/20 wa Kgoro ya Kgwebo le Intasteri le ya Tlhabollo ya Ekonomi (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 19 Mei 2020, letl 3).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Dikamano tša Boditšhabatšhaba le Tirišano ka Ketelo ya Tekodišišo go phorotšeke ya phaelote go rekela ofisi ya Boromiwa bja Sammaruri ya Ditšhaba tšeo di Kopanego le Mokhontshulara-Pharephare go la New York, kua United States of America (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 16 Matšhe 2020, letl 11).",August
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Sephetho sa Potšišo ya Pego ya Komiti ya Phothefolio ya Thuto ya Maemo a Godimo, tša Mahlale le Theknolotši ka pego ya phethagatšo ya 2019/20 wa ditšhelete tša Kotara ya Mathomo le kabo ya ditirelo ya Kgoro ya Thuto ya Maemo a Godimo le Tlhahlo (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 5 Disemere 2019, letl 64).",August
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Thuto ya Motheo ka Tšhišinyo go tšwa go Batho ba Bohwa bja Griqua ka tlhokego ya Sekolo sa Phoraemari (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 11 Febereware 2020, letl 5).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Mohlakanelwa ya Taolo ya Ditšhelete tša Palamente ka mošomo wa kotara ya mathomo ya 2019/20 wa Palamente ya Rephabliki ya Afrika (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 9 Disemere 2019, letl 20).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Mohlakanelwa ya Taolo ya Ditšhelete tša Palamente ka Pego ya Ngwaga ka Ngwaga ya 2018/19 ya Palamente ya Rephabliki ya Afrika Borwa (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 9 Disemere 2019, letl 5).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Thuto ya Maemo a Godimo, tša Mahlale le Theknolotši ka 2018/19 Dipego tša Ngwaga ka Ngwaga tša Sekhwama sa Bosetšhaba sa Tlhabollo ya Mabokgoni le Lekala la Thuto le Balaodi ba Tlhahlo (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 5 Disemere 2019, letl 24).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Kgwebo le Intasteri ka Mošomo wa Kotara ya Bobedi ya ngwaga ditšhelete wa 2019/20 wa Dikgoro tša Kgwebo le Intasteri le ya Tlhabollo ya Ekonomi le tšeo e se go tša ditšhelete (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 5 Disemere 2019, letl 4).",August
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Keleletšo ya Pego ya Komiti ya Sammaruri ya Molekodi-Pharephare ka Pego yeo e Kopantšwego ya Ngwaga ya Molekodi-Pharephare ngwageng wa ditšhelete wa 2018/19 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 4 Disemere 2019, letl 3).",August
MOTIONS (Notice given previously):,DITŠHIŠINYO (Tsebišo yeo e šetšego e filwe):,August
See p 309 (Mr N F Shivambu).,Bona letl 309 (Mna N F Shivambu).,August
APPENDIXES,DIMAMATLETŠO,August
PETITIONS REFERRED TO COMMITTEES,DIPHETHIŠENE TŠEO DI IŠITŠWEGO DIKOMITING,August
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phetišene go tšwa go badudi ba Toropokgolo ya Ekurhuleni, ba dira boipiletšo go Kopano gore e nyakišiše ditirelo tša go tlošwa ga matlakala mo go sa phethagalago ga lebaka le le telele tikologong ya bona (Moh H Ismail) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo – Ngwako wa Bosetšhaba).",August
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Pethišene go tšwa baduding ba Kokomeng le metseng ya baagišane, ba kgopela Ngwako go nyakišiša le go šetša kudu pulo leswa ya seteišene sa maphodisa sa Kokomeng (Mna I S Seitlholo) – (Komiti ya Phothefolio ya Thuto ya Sephodisa – Ngwako wa Bosetšhaba).",August
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Pethišene go tšwa baduding ba Bredell, Pomona, Brentwood Park le Glen Marais (wate 25), Toropkgolo ya Ekurhuleni, ba kgopela Ngwako go nyakišiša phuhlamo ya mothopo wa go botega wa motlagase mafelong a bona (Moh H Ismail) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo – Ngwako wa Bosetšhaba).",August
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Phetišene go tšwa go badudi ba Actonville, go la Benoni, ba dira boipiletšo go Kopano gore e nyakišiše ka kelo ya godimo ya tefelo ya rente ka bahiri ba difolete tšeo e lego tša khantshele (Mna H Ismail) – (Komiti ya Phothefolio ya Bodudi bja Batho, Meetse le Kelelatšhila – Ngwako wa Bosetšhaba).",August
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Phethišene go tšwa go badudi ba Germiston, go la Ekurhuleni, ba dira boipiletšo go Kopano gore e nyakišiše ka go kgaogakgaoga ga motlagase go la Germiston (Mdi M Clarke) – (Komiti ya Phothefolio ya Dikgwebo tša Setšhaba - Ngwako wa Bosetšhaba).",August
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Phetišene go tšwa go badudi ba Toropo ya Letsitele, Wateng ya 23, Tzaneen, ba dira boipiletšo go Kopano gore e kgonthišiše gore mmasepala wa Tzaneen o obamela melao, melawana ya mmasepala, le melawana, le gore o phethagatša lefelo la tikologo leo le šupeditšwego leo le kgonegago, le go lekola le go emiša ditiro tšeo di se go molaong (Mdi D van der Walt) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo - Ngwako wa Bosetšhaba).",August
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phetišene go tšwa go balemi le setšhaba sa Tzaneen, go la Limpopo, ba emetšwe ke AGRI Letaba, ba dira boipiletšo go Kopano gore e nyakišiše ka go kgaogakgaoga ga motlagase ka tsela ye mpe, go imelwa ga motlagase, dibolethetše tša tlase le go lokišwa ga ona motlagase ga tlase go tloga ngwageng wa 2016 ka lebaka la go palelwa ga Mmasepala wa Greater Tzaneen (Mdi D van der Walt) – (Komiti ya Phothefolio ya Pušotiršiano le Merero ya Setšo – Ngwako wa Bosetšhaba).",August
