eng,zul,source
Debate in terms of Rule 130: Phased-in approach to the reopening of schools by the Department of Basic Education – (Mr S L Ngcobo).,Inkulumompikiswano ngokoMthetho:130: Uhlelo lokuvula kancane kancane izikole okwenziwa uMnyango Wezemfundo Eyisisekelo – (Mnu.S. L Ngcobo).,August
"Consideration of Report of Portfolio Committee on Home Affairs on Oversight visit to Government Printing Works Head Office, Pretoria Gauteng (Announcements, Tablings and Committee Reports, 23 July 2020, p 13).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele UMnyango Wezasekhaya Ngohambo Lokuvakashela Isikhungo Sokushicilela SikaHulumeni eNhlokohhovisi, Pretoria-Gauteng (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama- 23 kuNtulikazi wezi2020, ikh 13)",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesibili neyesiThathu kunyaka wezimali 2019/20: UMnyango Wabasebenzi BakaHulumeni Nokuphathwa, Izikhungo kanye NeKhomishana Yabasebenzi BakaHulumeni (Izimemezelo, izethulo kanye nemiBiko yekomidi, 11 kuNdasa wezi- 2020, ikh 30).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesibili neyesiThathu kunyaka wezimali 2019/20: Isikhungo Sezibalo saseNingizimu Afrika (Izimemezelo, izethulo kanye nemiBiko yekomidi, 11 kuNdasa wezi- 2020, ikh 23)",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesibili neyesiThathu kunyaka wezimali 2019/20: UMnyango Wezokuhlela, Ukuqapha Nokubuyekeza Kanye ne-Brand South Africa (Izimemezelo, izethulo kanye nemiBiko yekomidi, 11 kuNdasa wezi- 2020, 11 kuNdasa wezi - 2020, ikh 15).",August
FURTHER BUSINESS,OKUNYE OKUZODINGIDWA,August
ORDERS OF THE DAY:,IZINHLELO ZOSUKU:,August
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Ukucutshungulwa Kombiko weKomidi elimele Ezokuthutha- NgoMthethosivivinywa Wesikhwama Semihlomulo Yezingozi [B 17B – 2017] (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama, 21 kuNcwaba wezi- 2020, ikh 15).",August
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,Ukufundwa Kwesibili – Mthethosivivinywa Wesikhwama Semihlomulo Yezingozi [B 17B – 2017] (isiShayamthetho sikazwelonke isig - 75) – (UNgqongqoshe Wezokuthutha).,August
"Consideration of Report of Portfolio Committee on Transport on 2019/20 Fourth Quarter Expenditure of Department of Transport (Announcements, Tablings and Committee Reports, 20 August 2020, p 26).","Ukucutshungulwa Kombiko weKomidi elimele Ezokuthutha ngoMbiko weKota Yesine Yokusebenza Komnyango Wezokuthutha kunyaka wezi-2019/20 (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama, 20 kuNcwaba wezi- 2020, ikh 26)",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Announcements, Tablings and Committee Reports, 20 August 2020, p 16).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesine kunyaka wezimali 2019/20: UMnyango Wabasebenzi BakaHulumeni Nokuphathwa, Izikhungo kanye NeKhomishana Yabasebenzi BakaHulumeni (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama -20 kuNcwaba wezi-2020, ikh 16).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 10).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesine kunyaka wezimali 2019/20: Isikhungo Sezibalo saseNingizimu Afrika (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama 20 kuNcwaba wezi 2020 ikh, 10)",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 2).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesine kunyaka wezimali 2019/20: UMnyango Wezokuhlela, Ukuqapha Nokubuyekeza kanye ne-Brand South Africa (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama 20 kuNcwaba wezi 2020, ikh 2)",August
"Consideration of Report of Portfolio Committee on Public Enterprises on Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP)  (Announcements, Tablings and Committee Reports, 19 August 2020, p 8).","Ukucutshungulwa Kombiko weKomidi lasePhalamende elibhekele AmaBhizinisi KaHulumeni Ngencwadi yesikhalazo eyayivela kwizakhamuzi zase- Jamestown, Stellenbosch zicela isiShayamthetho ukube sibheke isinqumo esathathwa ngu-Eskom sokudlulisa udaba luka gesi eJamestown lube sezandleni zikamasipala wase-Stellenbosch (sasithunyelwe ngu Dr. L Shreiber, iLunga LePhalamende) (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla ziyi-, 19 kuNcwaba wezi 2020, ikh 8).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Announcements, Tablings and Committee Reports, 19 August 2020, p 6).","Ukucutshungulwa Kombiko weKomidi lasePhalamende elibhekele ABesifazane, Intsha Nabantu Abakhubazekule Ngesaziso Esiluhlaka Ngokuholelwa Kwezikhungo Ezizimele Ngokomthethosisekelo (Izimemezelo, izethulo kanye nemibiko yekomidi mhla ziyi- 19 kuNcwaba wezi- 2020, ikh 6).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Filling of vacancies on National Youth Development Agency (NYDA) Board (Announcements, Tablings and Committee Reports, 6 August 2020, p 4).","Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Abesifazane, Intsha kanye Nabakhubazekile Ngokugcwaliswa kwezikhala kuPhiko LukaZwelonke Lokuthuthukiswa KweNtsha (NYDA) (Izimemezelo, uKwethulwa, Kanye nemiBiko yeKomidi, yamhla ziyi-6 kuNcwaba wezi- 2020, ikh 4).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Announcements, Tablings and Committee Reports, 17 July 2020, p 205).","Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezemfundo Ephakeme, iSayensi kanye Nezobuchwepheshe mayelana Kwesikhwama Sikazwelonke Sokubhekelela Ukuqeqeshelwa Amakhono kanye Nezikhungo Zokuqeqesha wezi- 2020 – 2025 Uhlelo Lwamasu kanye Namasu Okusebenza konyaka neSabiwomali sowe- 2020/21 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi, 17 kuNtulikazi wezi- 2020, ikh205).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Announcements, Tablings and Committee Reports, 17 July 2020, p 173).","Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezobudlelwano Bamazwe Omhlaba Nokubambisana-mayelana nokusebenza kwezimali kweKota le-4 kowezi- 2019/20 koMnyango Wezobudlelwane Bamazwe Omhlaba Nokubambisana kanye ne- African Renaissance neSikhwama Samazwe Omhlaba (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi -17 kuNtulikazi wei-2020, ikh 173).",August
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on 2019/20 Fourth Quarter performance of Department of Public Works and Infrastructure and Property Management Trading Entity (Announcements, Tablings and Committee Reports, 15 July 2020, p 141).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibhekele Imisebenzi Yomphakathi Kanye Nengqalasizinda 2019/20 Ikwata Yesine Yokusebenza Komnyango Wemisebenzi Yomphakathi Nengqalasizinda Kanye Nezikhungo Ezengamele Ukuphathwa Kwezakhiwo (Izimemezelo, Izethulo, umbiko weKomiti mhlaziyi, 16 kuNtulikazi wezi, 2020, ikh 141).",August
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibhekele ezamaPhoyisa mayelana nesiKhalazo esizimele esimayelana nokubekwa kabusha emsebenzini kwababengamalungu oHlaka oLusebenzisana namaphoyisa (Mnu M Qongqo) (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zingama-26 kuNhlangulana wezi-2020, ikh 20).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibhekele  ezamaPhoyisa mayelana nesiKhalazo esivela kubahlali baseWattville, eBenoni benxunxa isiShayamthetho ukuba sibhekane nokwanda kobugebengu , kubandakanywa nokuhlunkunyezwa kwabesifazane nezingane  kanye nesidingo sesiteshi samaphoyisa endaweni (sethulwe uNks H Ismail, iLungu lePhalamende)  kanye nesiKhalazo sabahlali base Actonville, eBenoni, becela isiShayamthetho ukuba siphenye izinga eliphezulu lobugebengu, izidakamizwa ukubakhona kwama-kiosk Kanye nezimoto zamaphoyisa endaweni (Sethulwe nguks H Ismail, iLungu lePhalamende) (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zingama-26 kuNhlangulana wezi-2020, ikhs 15).",August
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibhekele ezamaPhayisa mayelana nesiKhalazo sikaMnu Cornelius Basson (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zingama-26 kuNhlangulana wezi-2020, ikhs, 10)",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibhekele ezamaPhayisa mayelana nesiKhalazo esivela kubahlali baseKempton Park benxunxa isiShayamthetho ukuba siphenye ukwanda kokungabonakali kwamaphoyisa nokushoda kwezimoto zawo esiteshini samaphoyisa sase Kempton Park (sethulwe uMnu M Waters, iLungu lePhalamende) (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zingama-26 kuNhlangulana wezi-2020, ikhs, 4).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","17.Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele EzoHwebo NeziMboni mayelana nokusebenza Kwezezimali kanye Nokungasebenzi kwezinto Ezingaphathelene nezezimali KwiKota YesiNe Yezimali zoMnyango WezoHwebo NeziMboni kanye Nokuthuthukiswa Komnotho onyakeni wezimali wezi-2019/20 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zingama-25 kuNhlangulana wezi-2020, ikhs, 5).",August
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Ukucutshungulwa koMbiko weKomidi Elingaguquki Eliyinhlanganisela elibhekele Ezokuvikele mayelana Nezincwadi ezivela kuMongameli mayelana Nokuqashwa koMbutho kaZwelonke Wezokuvikela kwiMozambique Channel, Democratic Republic of Congo, eWuhan City e- Hubei Province of People’s Republic of China, kanye nasekwelekeleleni uMbutho Wezamaphoyisa aseNingizimu Afrika kanye nakweminye imiNyango Yombuso (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-19 kuNhlangulana wezi-2020, ikh 3).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezokuqashwa kanye Nezabasebenzi mayelana Nombiko Wekota yesibili okumayelana nokusebenza koMnyango Wezokuqasha kanye Nezabasebenzi kanye neziknkampani ezingaphansi kwawo ekufinyeleleni ezinhlosweni zokuphatha zonyaka wezi-2019/20 ((Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- ziyi-18 kuNhlangulana wezi-2020, ikh,120).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezokuqashwa kanye Nezabasebenzi mayelana Nombiko Wekota yokuqala okumayelana nokusebenza koMnyango Wezokuqasha kanye Nezabasebenzi kanye neziknkampani ezingaphansi kwawo ekufinyeleleni ezinhlosweni zokuphatha zonyaka wezi-2019/20 ((Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- ziyi-18 kuNhlangulana wezi-2020, ikh 81).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezokuqashwa kanye Nezabasebenzi mayelana mayelana Nombiko Wekota yesithathu okumayelana nokusebenza koMnyango Wezokuqasha kanye Nezabasebenzi kanye neziknkampani ezingaphansi kwawo ekufinyeleleni ezinhlosweni zokuphatha zonyaka wezi-2018/19 ((Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- ziyi-18 kuNhlangulana wezi-2020, ikh, 12).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Ukucutshungulwa koMbiko WeKomidi LesiShayamthetho elibhekele Ezokuhweba kanye Nezimboni mayelana Nokusebenza kwezimali Kwekota yesithathu yoMnyango Wezokuhweba kanye Nezimboni Nokuthuthukuswa Kwezomnotho kanye nalokho okungahambisani nemali konyaka wezi-2019/20 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- ziyi-19 kuNhlaba wezi-2020, ikh 3).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elibheleIzindaba Zangaphandle Nokubambisana mayelana nokuhlola iphrojekthi eqaliswayo youktholakala kwamahhovisi Okuzosebenzela kuwo Amanxusa WeNingizimu Afrika Unomphela ENhlanganweni Yezizwe kanye Nenxusa Jikelele eNew York, eMerikha ((Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-16 kuNdasa wezi-2020, ikh 11).",August
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Isinqumo mayelana noMbuzo mayelana noMbiko weKomiti LesiShayamthetho elibhekele Ezemfundo Ephakeme, iSayensi kanye Nezobuchwepheshe omayelana Nokusebenza Kwesikhwama Sikazwelonke Sokubhekelela Ukuqeqeshelwa Amakhono kanye Nezikhungo Zokuqeqesha Kunyangantathu Wokuqala wezi-2019/20. (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 64).",August
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho   elibhekele Ezemfundo Yamabanga Aphansi omayelana nokusweleka Kwesikole Samabanga Aphansi e-Griqua People’s Heritage (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- 11 kuNhlolanja wezi- 2020, ikh 5).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho elingaguquki futhi elihlanganisa iziNdlu zozombili elibhekele ezeziMali zePhalamende yaseNingizimu Afrika yonyaka wezi-2019/20 wekota yokuqala (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- 9 kuZibandlela wezi- 2019, ikh 20).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Ukucutshungulwa koMbiko weKomidi LesiShayamthetho Elingaguquki elihlanganisa iziNdlu zozimbili elibhekele Ukuphathwa KweziMali zePhalamende mayelana noMbiko Wonyaka wePhalamende laseNingizimu Afrika wezi-2018/19 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi- 9 kuZibandlela wezi- 2019, ikh 5).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele Ezemfundo Ephakeme, iSayensi kanye Nezobuchwepheshe omayelana nokusebenza Kwesikhwama Sikazwelonke Sokubhekelela Ukuqeqeshelwa Amakhono kanye Nezikhungo Zokuqeqesha wezi-2018/19. (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 24).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele EzoHwebo NeziMboni mayelana nokusebenza Kwezezimali kanye Nokungasebenzi kwezinto Ezingaphathelene nezezimali Kunyangatathu YesiThathu Yezimali zoMnyango WezoHwebo NeziMboni kanye Nokuthuthukiswa Komnotho onyakeni wezimali wezi-2019/20 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 4).",August
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","30.Ukucutshungulwa koMbiko WeKomidi Elingaguquli LesiShayamthetho elibhekele Umbiko Wonyaka Odidiyele WeHhovisi Lomncwaningi-Mabhuku Omkhulu kunyaka wezimali wezi- 2018/19 Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-4 kuZibandlela wezi-2019, ikh 3).",August
MOTIONS (Notice given previously):,IZIPHAKAMISO (Isaziso esikhishwe phambilini):,August
See p 309 (Mr N F Shivambu).,Bheka ikh 309 (Mnu. N F Shivambu).,August
APPENDIXES,IZITHASISELO,August
PETITIONS REFERRED TO COMMITTEES,IZIKHALAZO EZIBHEKISWE EMAKOMIDINI,August
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).",Uhlu lwesikhalazo esivela emphakathini woMasipala Omkhulu wase-Ekurhuleni ucela isiShayamthetho ukuthi siphenye mayelana nokuthuthwa okungahambi kahle kukadoti okuhlala kwenzeka endaweni yawo (Mnu H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).,August
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseKokomeng kanye nasezigodini ezingomakhelwane, ucela isiShayamthetho ukuthi siphenye futhi sibeke phambili ukuvulwa kabusha kwesiteshi samaphoyisa saseKokomeng (Mnu I S Seitlholo) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezamaphoyisa – iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Isikhalazo esivela emphakathini waseBredell, ePomona, Berentwood Park kanye naseGlen Marais (esigcemeni sa-25), iDolobhakazi lase-Ekurhuleni, ucela iSishayamthetho ukuthi siphenye ngokufadabala kokuhlinzekwa okuthembekayo kogesi ezindaweni zawo (Nksz H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye neziNdaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Uhlu lwesikhalazo esivela emphakathini wase-Actonville, eBenoni, ucela isiShayamthetho ukuthi siphenye izinga mayelana nokumba eqolo kokuqasha izindlu abaqashi bamafulethi angawomkhandlu (Nks H Ismail)- (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuHlaliswa kwabantu, Amanzi Kanye nokuthuthwa kwendle-  iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseGermiston, uMasipala omkhulu wase-Ekurhuleni ucela isiShayamthetho sikaZwelonke ukuthi siphenye mayelana nokunqamuka kwamandla kagesi okuningana (Nk Clarke) – ((IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele izinkampani zikahulumen - isiShayamthetho sikaZwelonke).",August
