eng,afr,source
"Consideration of Report of Portfolio Committee on Transport on 2019/20 Fourth Quarter Expenditure of Department of Transport (Announcements, Tablings and Committee Reports, 20 August 2020, p 26).","Oorweging van Verslag van Portefeuljekomitee oor Vervoer oor 2019/20 Fourth Quarter Expenditure of Department of Transport (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 26).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Announcements, Tablings and Committee Reports, 20 August 2020, p 16).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Consideration of fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 16).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 10).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Consideration of fourth quarter performance of 2019/20 financial year: Statistics South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 10).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Consideration of fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 2).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Consideration of fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 2).",August
"Consideration of Report of Portfolio Committee on Public Enterprises on Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP)  (Announcements, Tablings and Committee Reports, 19 August 2020, p 8).","Oorweging van Verslag van Portefeuljekomitee oor Openbare Ondernemings oor Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP) (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Augustus 2020, bl 8).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Announcements, Tablings and Committee Reports, 19 August 2020, p 6).","Oorweging van Verslag van Portefeuljekomitee oor Vroue, Jeug en Persone met Gestremdhede on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Augustus 2020, bl 6).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Filling of vacancies on National Youth Development Agency (NYDA) Board (Announcements, Tablings and Committee Reports, 6 August 2020, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Vroue, Jeug en Persone met Gestremdhede oor Filling of vacancies on National Youth Development Agency (NYDA) Board (Aankondigings, Tertafelleggings en Komiteeverslae, 6 Augustus 2020, bl 4).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Announcements, Tablings and Committee Reports, 17 July 2020, p 205).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Aankondigings, Tertafelleggings en Komiteeverslae, 17 Julie 2020, bl 205).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Announcements, Tablings and Committee Reports, 17 July 2020, p 173).","Oorweging van Verslag van Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking oor 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Aankondigings, Tertafelleggings en Komiteeverslae, 17 Julie 2020, bl 173).",August
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on 2019/20 Fourth Quarter performance of Department of Public Works and Infrastructure and Property Management Trading Entity (Announcements, Tablings and Committee Reports, 15 July 2020, p 141).","Oorweging van Verslag van Portefeuljekomitee oor Openbare Werke en Infrastruktuur oor 2019/20 Fourth Quarter performance of Department of Public Works and Infrastructure and Property Management Trading Entity (Aankondigings, Tertafelleggings en Komiteeverslae, 15 Julie 2020, bl 141).",August
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 20).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 20).",August
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Petition of Mr Cornelius Basson (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 10).",August
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 4).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 25 Junie 2020, bl 5).",August
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Verdediging oor Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Junie 2020, bl 3).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Oorweging van Verslag van Portefeuljekomitee oor Indiensneming en Arbeid oor Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Aankondigings, Tertafelleggings en Komiteeverslae, 18 Junie 2020, bl 120).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Oorweging van Verslag van Portefeuljekomitee oor Indiensneming en Arbeid oor First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Aankondigings, Tertafelleggings en Komiteeverslae, 18 Junie 2020, bl 81).",August
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Oorweging van Verslag van Portefeuljekomitee oor Indiensneming en Arbeid oor Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Aankondigings, Tertafelleggings en Komiteeverslae, 18 Junie 2020, bl 12).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Mei 2020, bl 3).",August
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Oorweging van Verslag van Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking oor Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Aankondigings, Tertafelleggings en Komiteeverslae, 16 Maart 2020, bl 11).",August
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Besluit oor Vraag oor Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 64).",August
"Consideration of Report of Portfolio Committee on Basic Education on Submission from Griqua People’s Heritage on lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Oorweging van Verslag van Portefeuljekomitee oor Basiese Onderwys oor Submission from the Griqua People’s Heritage on the lack of a Primary School (Aankondigings, Tertafelleggings en Komiteeverslae, 11 Februarie 2020, bl 5).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Finansiële Bestuur van Parlement oor Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Aankondigings, Tertafelleggings en Komiteeverslae, 9 Desember 2019, bl 20).",August
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Oorweging van Verslag van Gesamentlike Staande Komitee oor Finansiële Bestuur van Parlement oor Parliament of Republic of South Africa’s 2018/19 Annual Report (Aankondigings, Tertafelleggings en Komiteeverslae, 9 Desember 2019, bl 5).",August
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 24).",August
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 4).",August
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Oorweging van Verslag van Staande Komitee oor Ouditeur-generaal oor Integrated Annual Report of Auditor-General for financial year 2018/19 (Aankondigings, Tertafelleggings en Komiteeverslae, 4 Desember 2019, bl 3).",August
MOTIONS (Notice given previously):,MOTIONS (Notice given previously):,August
See p 309 (Mr N F Shivambu).,Kyk bl 309 (mnr N F Shivambu).,August
APPENDIXES,AANHANGSELS,August
PETITIONS REFERRED TO COMMITTEES,PETISIES NA KOMITEES VERWYS,August
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritise the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",August
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portefeuljekomitee oor Menslike Nedersettings, Water en Sanitasie – Nasionale Vergadering).",August
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake - Nasionale Vergadering).",August
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",August
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),WETSONTWERPE NA GESAMENTLIKE KLASSIFISERINGS MEGANISME TAGGING MECHANISM (GKM) VERWYS,August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75).,Financial Sector Laws Amendment Bill [B 15 - 2020] (Nasionale Vergadering – voorgestelde art 75).,August
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75).,Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (Nasionale Vergadering – voorgestelde art 75).,August
BILLS REFERRED TO COMMITTEES,WETSONTWERPE NA KOMITEES VERWYS,August
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Protection of State Information Bill [B 6H – 2010] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 12 Junie 2020, bl 7) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).",August
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Liquor Products Amendment Bill [B 10B – 2016] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 12 Junie 2020, bl 2) – (Portefeuljekomitee oor Landbou, Grondhervorming en Landelike Ontwikkeling – Nasionale Vergadering).",August
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","Performers’ Protection Amendment Bill [B 24B – 2016] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 22 Junie 2020, bl 2) – (Portefeuljekomitee oor Handel en Nywerheid – Nasionale Vergadering).",August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75) (voorgelê as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Copyright Amendment Bill [B 13B – 2017] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 22 Junie 2020, bl 2) – (Portefeuljekomitee oor Handel en Nywerheid – Nasionale Vergadering).",August
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,International Crimes Bill [B 37 – 2017] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",August
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Social Assistance Amendment Bill [B 8B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Gesondheid en Maatskaplike Dienste – Nasionale Raad van Provinsies).,August
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,State Liability Amendment Bill [B 16 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Samewerkende Regering en Tradisionele Sake, Water en Sanitasie en Menslike Nedersettings – Nasionale Raad van Provinsies).",August
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,South African Reserve Bank Bill [B 26 – 2018] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
